timestamp,entry_price,exit_price,pnl,fee,capital
2025-06-17 12:27:00,2.2032,2.2051,0.0,0.0,8000.0
2025-06-17 12:33:00,2.2029,2.2047,0.0,0.0,8000.0
2025-06-17 12:39:00,2.209,2.2112,0.0,0.0,8000.01
2025-06-17 12:45:00,2.2147,2.212,-0.0,0.0,8000.0
2025-06-17 12:51:00,2.2091,2.2092,0.0,0.0,8000.0
2025-06-17 12:57:00,2.2066,2.2065,-0.0,0.0,8000.0
2025-06-17 13:03:00,2.207,2.2117,0.0,0.0,8000.01
2025-06-17 13:09:00,2.2116,2.2135,0.0,0.0,8000.01
2025-06-17 13:15:00,2.2126,2.2109,-0.0,0.0,8000.01
2025-06-17 13:21:00,2.2155,2.2138,-0.0,0.0,8000.0
2025-06-17 13:27:00,2.218,2.2186,0.0,0.0,8000.01
2025-06-17 13:33:00,2.2182,2.222,0.0,0.0,8000.01
2025-06-17 13:39:00,2.2229,2.224,0.0,0.0,8000.01
2025-06-17 13:45:00,2.2129,2.218,0.0,0.0,8000.01
2025-06-17 13:51:00,2.2117,2.2134,0.0,0.0,8000.02
2025-06-17 13:57:00,2.2159,2.2159,-0.0,0.0,8000.02
2025-06-17 14:03:00,2.2148,2.2099,-0.01,0.0,8000.01
2025-06-17 14:09:00,2.219,2.2191,0.0,0.0,8000.01
2025-06-17 14:15:00,2.218,2.2158,-0.0,0.0,8000.01
2025-06-17 14:21:00,2.2117,2.211,-0.0,0.0,8000.01
2025-06-17 14:27:00,2.2088,2.2112,0.0,0.0,8000.01
2025-06-17 14:33:00,2.2109,2.2064,-0.01,0.0,8000.0
2025-06-17 14:39:00,2.2038,2.2003,-0.0,0.0,8000.0
2025-06-17 14:45:00,2.2035,2.2073,0.0,0.0,8000.0
2025-06-17 14:51:00,2.2059,2.2021,-0.0,0.0,8000.0
2025-06-17 14:57:00,2.1988,2.1946,-0.0,0.0,8000.0
2025-06-17 15:03:00,2.1853,2.1903,0.0,0.0,8000.0
2025-06-17 15:09:00,2.188,2.1868,-0.0,0.0,8000.0
